---Movies by imdb rating catogary---
rating_category	movie_count
High	846
Medium	1958
Low	264

---Total gross revenue by genre---
genre	total_gross
Action|Adventure|Fantasy|Sci-Fi	3559347775
Action|Adventure|Fantasy	3303695046
Action|Adventure|Thriller	3844783431
Action|Thriller	1676401072
Action|Adventure|Sci-Fi	8465023014
Action|Adventure|Romance	439983408
Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance	418157481
Adventure|Family|Fantasy|Mystery	1395281585
Action|Adventure	1177162558
Action|Adventure|Western	209933027
Action|Adventure|Family|Fantasy	450530270
Action|Adventure|Comedy|Family|Fantasy|Sci-Fi	353538635
Adventure|Fantasy	944733942
Action|Adventure|Drama|History	105292148
Adventure|Family|Fantasy	1788712268
Action|Adventure|Drama|Romance	518644247
Drama|Romance	3331795777
Action|Adventure|Sci-Fi|Thriller	3488138508
Action|Adventure|Fantasy|Romance	867839911
Action|Adventure|Fantasy|Sci-Fi|Thriller	1135904469
Adventure|Animation|Comedy|Family|Fantasy	3992613148
Adventure|Animation|Comedy|Family|Sport	518528546
Action|Crime|Thriller	2865116249
Action|Adventure|Horror|Sci-Fi|Thriller	225670237
Adventure|Animation|Family|Sci-Fi	261927443
Action|Comedy|Crime|Thriller	1180143323
Animation|Drama|Family|Fantasy	137850096
Action|Crime|Drama|Thriller	1987256075
Adventure|Animation|Comedy|Family	2728857583
Action|Adventure|Animation|Comedy|Family|Sci-Fi	300632391
Adventure|Drama|Family|Mystery	73820094
Action|Comedy|Sci-Fi|Western	113745408
Action|Adventure|Fantasy|Horror|Thriller	102176165
Action|Adventure|Comedy|Sci-Fi	613788731
Comedy|Family|Fantasy	1435058262
Adventure|Animation|Comedy|Drama|Family|Fantasy	356454367
Adventure|Drama|Family|Fantasy	547631153
Action|Adventure|Drama|Fantasy	1272696867
Action|Adventure|Family|Fantasy|Romance	241407328
Action|Adventure|Drama|Sci-Fi	251666875
Action|Adventure|Romance|Sci-Fi	133729689
Action|Adventure|Family|Mystery|Sci-Fi	93417865
Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi	245647016
Adventure|Animation|Comedy|Family|Sci-Fi	693811713
Adventure|Animation|Family|Fantasy	573425612
Action|Sci-Fi	1424628464
Adventure|Drama|Sci-Fi	506035561
Action|Adventure|Drama|Horror|Sci-Fi	25529689
Drama|Fantasy|Romance	686174202
Adventure|Sci-Fi	281666058
Action|Adventure|Drama|Thriller	1167128975
Action|Drama|History|Romance|War	198668833
Action|Adventure|Biography|Drama|History|Romance|War	34293771
Action|Drama	254218634
Drama|Horror|Sci-Fi	302022769
Adventure|Comedy|Family|Fantasy	1035940035
Animation|Comedy|Family|Fantasy	704370521
Action|Adventure|Animation|Comedy|Family	926235107
Adventure|Animation|Comedy|Family|Fantasy|Musical	440136350
Mystery|Thriller	863042300
Adventure|Animation|Comedy|Drama|Family	220847494
Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi	173552848
Comedy|Fantasy|Horror	423614640
Drama|Fantasy|Horror|Thriller	141140768
Action|Drama|Thriller	801229997
Adventure	133228348
Action|Comedy|Fantasy|Sci-Fi	147755249
Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi	190418803
Action|Adventure|Animation|Fantasy	82161969
Comedy|Crime	1836558168
Action|Drama|History|War	393681842
Action|Adventure|Drama	191697263
Action|Adventure|Animation|Comedy|Family|Fantasy	779317814
Action|Drama|Mystery|Sci-Fi	107503316
Action|Adventure|Comedy|Thriller	212921414
Action|Adventure|Animation|Fantasy|Romance|Sci-Fi	32131830
Action|Adventure|Drama|History|War	217482608
Adventure|Drama|Fantasy|Romance	889445670
Animation|Comedy|Family|Musical	63992328
Adventure|Drama|Thriller|Western	183635922
Adventure|Animation|Comedy|Family|Western	123207194
Action|Mystery|Thriller	814025293
Adventure|Sci-Fi|Thriller	1547356010
Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi	198294495
Action|Crime|Mystery|Thriller	360627427
Action|Adventure|Family|Mystery	77564037
Adventure|Drama|Romance|War	74161304
Adventure|Animation|Family|Thriller	137748063
Action|Fantasy	61911405
Action|Animation|Comedy|Family|Sci-Fi	503915161
Action|Comedy|Fantasy	78721880
Fantasy	38025554
Adventure|Animation|Comedy|Family|Musical	301841575
Action|Adventure|Crime|Mystery|Thriller	395850158
Action|Adventure|History	33779749
Action	408184818
Adventure|Drama|Fantasy	193187368
Action|Fantasy|Thriller	229767333
Action|Adventure|Comedy|Crime	425405407
Adventure|Mystery|Sci-Fi	416312478
Action|Drama|Sci-Fi|Thriller	371320321
Action|Crime|Sci-Fi|Thriller	336576438
Action|Family|Sport	43929341
Comedy|Drama|Romance	4255799680
Action|Comedy|Romance	220445888
Action|Adventure|Mystery|Sci-Fi	170044068
Action|Drama|War	490364235
Adventure|Drama|Sci-Fi|Thriller	740014000
Action|Adventure|Comedy|Family|Fantasy	250863268
Crime|Thriller	1030631660
Action|Comedy|Crime|Romance|Thriller	240755392
Biography|Drama	1187265314
Action|Comedy|Crime|Sci-Fi|Thriller	98780042
Action|Drama|Fantasy|War	316961707
Animation|Comedy|Family|Music|Western	50026353
Action|Adventure|Mystery|Sci-Fi|Thriller	179431141
Action|Drama|Sci-Fi|Sport	85463309
Action|Crime|Romance|Thriller	153382774
Action|Adventure|Comedy	674202647
Biography|Drama|Sport	1051442716
Action|Mystery|Sci-Fi|Thriller	479832892
Animation|Family|Fantasy|Musical|Romance	104374107
Action|Adventure|Romance|Sci-Fi|Thriller	123771461
Comedy|Romance	6134611003
Action|Drama|Romance	492520402
Biography|Crime|Drama|History|Romance	97030725
Biography|Crime|Drama	640606691
Action|Comedy|Thriller	156358547
Action|Comedy|Crime	2002348761
Action|Drama|Mystery|Thriller	101228120
Drama|Western	291920667
Animation|Drama|Family|Musical|Romance	100117603
Action|Adventure|Comedy|Family|Mystery	173005002
Action|Romance|Thriller	67631157
Action|Fantasy|Horror|Mystery	66862068
Adventure|Drama|Thriller	405744595
Biography|Comedy|Crime|Drama	119079365
Action|Sci-Fi|War	54700065
Drama|Sci-Fi	175493269
Action|Adventure|Animation|Family|Fantasy	55673333
Action|Crime|Fantasy|Romance|Thriller	40198710
